time,result
2024-12-11 06:49:33,lose
2024-12-11 06:51:03,lose
2024-12-11 06:52:33,lose
2024-12-11 06:54:03,win
2024-12-11 06:55:38,lose
2024-12-11 06:57:03,win
2024-12-11 06:58:38,lose
2024-12-11 07:00:02,win
2024-12-11 07:01:37,win
2024-12-11 07:03:09,win
2024-12-11 07:04:38,lose
2024-12-11 07:06:08,lose
2024-12-11 07:07:39,win
2024-12-11 07:09:08,win
2024-12-11 07:10:39,win
2024-12-11 07:12:03,lose
2024-12-11 07:13:34,win
2024-12-11 07:15:03,win
2024-12-11 07:16:32,win
2024-12-11 07:18:03,lose
2024-12-11 07:19:32,win
2024-12-11 07:21:02,lose
2024-12-11 07:22:33,win
2024-12-11 07:24:03,lose
2024-12-11 07:25:37,win
2024-12-11 07:27:07,lose
2024-12-11 07:28:32,win
2024-12-11 07:30:02,lose
2024-12-11 07:31:39,win
2024-12-11 07:33:04,win
2024-12-11 07:34:38,win
2024-12-11 07:36:08,win
2024-12-11 07:37:37,lose
2024-12-11 07:39:08,lose
2024-12-11 09:58:10,win
2024-12-11 09:58:35,lose
2024-12-11 10:01:39,win
2024-12-11 10:03:39,lose
2024-12-11 10:04:39,lose
2024-12-11 10:06:39,win
2024-12-11 10:07:39,win
2024-12-11 10:09:39,lose
2024-12-11 10:10:39,lose
2024-12-11 10:12:39,win
2024-12-11 10:13:39,win
2024-12-11 10:15:39,lose
2024-12-11 10:16:39,win
2024-12-11 10:18:39,lose
2024-12-11 10:19:39,win
2024-12-11 10:21:39,lose
2024-12-11 10:22:39,win
2024-12-11 10:24:39,lose
2024-12-11 10:25:39,lose
2024-12-11 10:27:39,win
2024-12-11 10:28:39,win
2024-12-11 10:30:39,lose
2024-12-11 10:31:39,win
2024-12-11 10:33:39,win
2024-12-11 10:34:39,lose
2024-12-11 10:36:39,lose
2024-12-11 10:37:38,lose
2024-12-11 10:39:38,lose
2024-12-11 10:40:39,lose
2024-12-11 10:42:38,win
2024-12-11 10:43:38,win
2024-12-11 10:45:38,win
2024-12-11 10:46:38,win
2024-12-11 10:48:39,lose
2024-12-11 10:49:38,lose
2024-12-11 10:51:38,win
2024-12-11 10:52:38,lose
2024-12-11 10:54:09,win
2024-12-11 10:55:33,lose
2024-12-11 10:57:07,lose
2024-12-11 10:58:37,lose
2024-12-11 11:00:07,lose
2024-12-11 11:01:38,win
2024-12-11 11:03:08,win
2024-12-11 11:04:38,win
2024-12-11 11:06:03,lose
2024-12-11 11:07:32,win
2024-12-11 11:09:03,lose
2024-12-11 11:10:36,lose
2024-12-11 11:12:02,win
2024-12-11 11:13:33,lose
2024-12-11 11:15:03,win
2024-12-11 11:16:31,win
2024-12-11 11:18:07,win
2024-12-11 11:19:38,lose
2024-12-11 11:22:38,win
2024-12-11 11:24:38,win
2024-12-11 11:25:39,win
2024-12-11 11:27:38,win
2024-12-11 11:28:57,lose
2024-12-11 11:31:38,lose
2024-12-11 11:33:38,lose
2024-12-11 11:34:38,lose
2024-12-11 11:36:38,lose
2024-12-11 11:37:33,win
2024-12-11 11:40:38,win
2024-12-11 11:42:38,win
2024-12-11 11:43:38,win
2024-12-11 11:45:38,win
2024-12-11 11:46:38,win
2024-12-11 11:48:38,win
2024-12-11 11:49:40,win
2024-12-11 11:51:38,lose
2024-12-11 11:52:39,lose
2024-12-11 11:54:38,win
2024-12-11 11:55:38,lose
2024-12-11 11:57:39,lose
2024-12-11 11:58:38,lose
2024-12-11 12:00:08,win
2024-12-11 12:02:38,lose
2024-12-11 12:03:38,lose
2024-12-11 12:04:38,lose
2024-12-11 12:06:38,lose
2024-12-11 12:07:38,lose
2024-12-11 12:09:38,lose
